family	occ	service	nearest_concepts	insurers	proposed_verdict	proposed_slug	slug_status	proposed_category	cat_status	modifiers	is_a	note	RULING
family-planning	2	Generic FDA-approved contraceptive drugs, devices and products (Family Planning)		Anthem Blue Cross	N1	contraceptives	NEW	family_planning	NEW-cat			drugs/devices/IUD	
family-planning	2	Vasectomies and related services		Anthem Blue Cross	N1	vasectomy	NEW	family_planning	NEW-cat		is_a sterilization?		
rx-role	2	Tier 3 drugs		Blue Cross NC, unknown	synonym	non_preferred_brand_rx	NEW	rx	exists	plan_tier_label=3		tier3 = non-preferred	
vision	1	Child Vision Care — Contact Lenses, Elective (conventional and disposable)	childrens_glasses, vision_hardware	Anthem Blue Cross	is_a	vision_hardware	EXISTS	vision	NEW-cat		is_a vision_hardware	pediatric lenses/contacts	
vision	1	Child Vision Care — Contact Lenses, Non-elective	childrens_glasses, vision_hardware	Anthem Blue Cross	is_a	vision_hardware	EXISTS	vision	NEW-cat		is_a vision_hardware	pediatric lenses/contacts	
vision	1	Child Vision — Contact Lenses, Elective (conventional and disposable)	childrens_glasses, vision_hardware	Anthem Blue Cross	is_a	vision_hardware	EXISTS	vision	NEW-cat		is_a vision_hardware	pediatric lenses/contacts	
vision	1	Child Vision — Contact Lenses, Non-elective	childrens_glasses, vision_hardware	Anthem Blue Cross	is_a	vision_hardware	EXISTS	vision	NEW-cat		is_a vision_hardware	pediatric lenses/contacts	
dental	1	PEDIATRIC DENTAL (DeltaCare USA) - Maxillofacial Prosthetics (CDT D5900-D5999)	durable_medical_equipment, childrens_dental_checkup	Kaiser Permanente	is_a	childrens_dental	EXISTS	dental	NEW-cat		is_a childrens_dental	pediatric dental major (non-checkup)	
hospital	1	Hospital stay — Physician/surgeon fees / Inpatient Doctor/Surgeon Fee	inpatient_physician, mental_health_inpatient, mental_health_outpatient, outpatient_surgery_physician, substance_abuse_inpatient	Anthem Blue Cross	synonym	hospital_admission	NEW	hospitalization	NEW-cat	component=professional			
family-planning	1	Sterilization procedures for Members assigned female at birth (outpatient/ambulatory surgery center or hospital OR)	outpatient_surgery_facility, outpatient_surgery_physician	Kaiser Permanente	N1	sterilization	NEW	family_planning	NEW-cat	place_of_service, component		female/male; outpatient/ASC/OR	
family-planning	1	Sterilization procedures for Members assigned male at birth (outpatient/ambulatory surgery center or hospital OR)	outpatient_surgery_facility, outpatient_surgery_physician	Kaiser Permanente	N1	sterilization	NEW	family_planning	NEW-cat	place_of_service, component		female/male; outpatient/ASC/OR	
hospital	1	Hospital Services — Outpatient Visit	outpatient_surgery_facility, outpatient_surgery_physician	Anthem Blue Cross	N4	hospital_outpatient	NEW	hospitalization	NEW-cat	pos=outpatient_facility		catch-all outpatient hospital	
hospital	1	Outpatient Visit (Hospital Services)	outpatient_surgery_facility, outpatient_surgery_physician	Anthem Blue Cross	N4	hospital_outpatient	NEW	hospitalization	NEW-cat	pos=outpatient_facility		catch-all outpatient hospital	
office-visit	1	Other practitioner office visit: Nurse Practitioner	pcp_visit, specialist_visit, telehealth_pcp	unknown	synonym	specialist_visit	EXISTS	office_visit	exists			NP/PA -> office visit (or new other_practitioner_visit)	
rx-role	1	Non-preferred brand drugs (Tier 2)	preferred_brand_rx_tier2, non_preferred_rx_tier3	Kaiser Permanente	synonym	non_preferred_brand_rx	NEW	rx	exists			tier# -> plan_tier_label modifier (D1)	
rx-role	1	Non-Preferred brand drugs (Tier 4)	preferred_brand_rx_tier2, non_preferred_rx_tier3	unknown	synonym	non_preferred_brand_rx	NEW	rx	exists			tier# -> plan_tier_label modifier (D1)	
vision	1	Vision (Adult) - Non-Physician Specialist Visits to diagnose/treat injuries or diseases of the eye	specialist_visit, telehealth_pcp, telehealth_specialist, routine_eye_care_adult	Kaiser Permanente	N1	medical_eye_care	NEW	vision	NEW-cat			non-routine = medical eye care, not routine exam	
peer	1	Non-emergency care when traveling outside the U.S.		BlueCross BlueShield of South Carolina	N1	foreign_travel_care	NEW	other	exists			non-emergency care abroad	
family-planning	1	Sterilization procedures for Members assigned female at birth (outpatient/ambulatory surgery center or hospital OR)	outpatient_surgery_facility, outpatient_surgery_physician	Kaiser Permanente	N1	sterilization	NEW	family_planning	NEW-cat	place_of_service, component		female/male; outpatient/ASC/OR	
surgery	1	Any other outpatient surgery not requiring vital-sign monitoring		Kaiser Permanente	N4	surgery	NEW	surgery	NEW-cat	pos=outpatient_facility, component		catch-all outpatient surgery	
surgery	1	Outpatient surgery/procedures requiring licensed staff vital-sign monitoring		Kaiser Permanente	N4	surgery	NEW	surgery	NEW-cat	pos=outpatient_facility, component		catch-all outpatient surgery	
dental	1	Pediatric dental — Orthodontics (Medically Necessary)	childrens_dental_checkup, dental_orthodontic	Blue Shield of California	synonym	dental_orthodontic	EXISTS	dental	NEW-cat	indication=medically_necessary			
peer	1	Non-emergency care when traveling outside the U.S.		Regence	N1	foreign_travel_care	NEW	other	exists			non-emergency care abroad	
vision	1	Pediatric vision — contact lens fitting and evaluation (standard lenses)		Blue Shield of California	is_a	vision_hardware	EXISTS	vision	NEW-cat		is_a vision_hardware	pediatric lenses/contacts	
rx-role	1	Preferred brand drugs		WellSense Health Plan	synonym	preferred_brand_rx	NEW	rx	exists				
vision	1	Pediatric vision — contact lens fitting and evaluation (non-standard lenses)		Blue Shield of California	is_a	vision_hardware	EXISTS	vision	NEW-cat		is_a vision_hardware	pediatric lenses/contacts	
rx-role	1	Non-preferred brand drugs	preferred_brand_rx_tier2, non_preferred_rx_tier3	WellSense Health Plan	synonym	non_preferred_brand_rx	NEW	rx	exists			tier# -> plan_tier_label modifier (D1)	
peer	1	Early intervention services for children age 3 and older		WellSense Health Plan	N1	early_intervention	NEW	therapy	exists			children age 3+	
peer	1	Non-emergency care when traveling outside the U.S.		BlueCross BlueShield of South Carolina	N1	foreign_travel_care	NEW	other	exists			non-emergency care abroad	
peer	1	Non-emergency care when traveling outside the U.S.		WellSense Health Plan	N1	foreign_travel_care	NEW	other	exists			non-emergency care abroad	
office-visit	1	Other practitioner office visit (nurse practitioners, physician assistants, therapists, podiatrists)	pcp_visit, specialist_visit	Blue Shield of California	synonym	specialist_visit	EXISTS	office_visit	exists			NP/PA -> office visit (or new other_practitioner_visit)	
vision	1	Non-routine vision		WellSense Health Plan	N1	medical_eye_care	NEW	vision	NEW-cat			non-routine = medical eye care, not routine exam	
hospital	1	Facility fee (e.g., hospital room)		Blue Cross NC	synonym	hospital_outpatient	NEW	hospitalization	NEW-cat	component=facility		orphan facility line (D2)	
peer	1	Non-emergency care when traveling outside the U.S.		Chorus Community Health Plans	N1	foreign_travel_care	NEW	other	exists			non-emergency care abroad	
