description_pattern,code,code_type,target_slug,source_label,basis
"CT HEAD WITHOUT CONTRAST",70450,CPT,advanced_imaging,"CMS HCPCS 2024","CT head"
"CT ABDOMEN PELVIS W CONTRAST",74177,CPT,advanced_imaging,"CMS HCPCS 2024","CT abdomen pelvis"
"CHEST X RAY 2 VIEWS",71046,CPT,radiology_basic,"CMS HCPCS 2024","chest radiography"
"MAMMOGRAPHY SCREENING",77067,CPT,cancer_screening,"USPSTF Grade B","breast cancer screening"
"COLONOSCOPY SCREENING",45378,CPT,cancer_screening,"USPSTF Grade A","colorectal cancer screening"
"PAP SMEAR CERVICAL",88142,CPT,cancer_screening,"USPSTF Grade A","cervical cancer screening"
"IMMUNIZATION ADMIN SINGLE",90471,CPT,immunizations,"CDC ACIP + CMS","vaccine administration"
"IMMUNIZATION ADMIN ADDITIONAL",90472,CPT,immunizations,"CDC ACIP + CMS","additional vaccine administration"
"INFLUENZA VACCINE QUADRIVALENT",90686,CPT,immunizations,"CDC ACIP schedule","influenza vaccine"
"TDAP VACCINE ADULT",90715,CPT,immunizations,"CDC ACIP schedule","tetanus diphtheria pertussis vaccine"
"HPV VACCINE 9 VALENT",90651,CPT,immunizations,"CDC ACIP schedule","HPV vaccine"
"EMERGENCY DEPT VISIT LEVEL 1",99281,CPT,er_visit,"AMA CPT E&M","ER visit problem focused"
"EMERGENCY DEPT VISIT LEVEL 2",99282,CPT,er_visit,"AMA CPT E&M","ER visit expanded problem"
"EMERGENCY DEPT VISIT LEVEL 3",99283,CPT,er_visit,"AMA CPT E&M","ER visit moderate complexity"
"EMERGENCY DEPT VISIT LEVEL 4",99284,CPT,er_visit,"AMA CPT E&M","ER visit moderate to high complexity"
"EMERGENCY DEPT VISIT LEVEL 5",99285,CPT,er_visit,"AMA CPT E&M","ER visit high complexity"
"PSYCHOTHERAPY 30 MIN",90832,CPT,mental_health_outpatient,"AMA CPT mental health","psychotherapy individual"
"PSYCHOTHERAPY 45 MIN",90834,CPT,mental_health_outpatient,"AMA CPT mental health","psychotherapy individual"
"PSYCHOTHERAPY 60 MIN",90837,CPT,mental_health_outpatient,"AMA CPT mental health","psychotherapy individual"
"PHYSICAL THERAPY EVALUATION",97161,CPT,pt_rehab,"AMA CPT rehab","PT evaluation low complexity"
"PHYSICAL THERAPY THERAPEUTIC EXERCISES",97110,CPT,pt_rehab,"AMA CPT rehab","therapeutic exercises"
